time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
78544,2354,63,5,1427,3363800,1491,17159,0,False
82961,2354,63,7,2962,10249336,4417,15742,0,False
84777,2354,63,5,1427,4125720,1815,16926,0,False
87712,2354,63,6,2056,6761160,2935,16991,0,False
87780,2354,63,7,2962,12000,68,16923,0,False
90062,3157,58,6,2056,5272440,2281,17642,0,False
93027,3157,58,7,2962,9178208,2965,17676,0,False
95677,3157,58,7,2962,8182464,2649,18027,0,False
98714,3157,58,7,2962,9404888,3037,17989,0,False
101007,3157,58,7,2962,7055672,2292,18697,0,False
104556,3157,58,7,2962,11021432,3549,18147,0,False
107487,3157,58,7,2962,9068912,2930,18217,0,False
111618,3157,58,7,2962,12860376,4131,17085,0,False
113168,3157,58,7,2962,4708664,1549,18536,0,False
116824,3157,58,8,5027,11359768,3656,17879,0,False
119324,3157,58,7,2962,7708000,2499,18380,0,False
121035,647,245,8,5027,2620790,1711,16668,0,False
122899,647,245,6,2056,1047200,1863,14804,0,False
128920,647,245,4,991,3737080,6021,11783,0,False
130769,647,245,1,331,1037672,1848,12935,0,False
132932,647,245,2,477,1241272,2163,13771,0,False
135499,647,245,3,688,1502072,2566,14205,0,False
135762,647,245,4,991,12000,263,13941,0,False
139655,647,245,3,688,2360184,3892,13048,0,False
141824,647,245,2,477,1244344,2168,13880,0,False
145741,647,245,3,688,2376088,3917,12962,0,False
147911,647,245,2,477,1245240,2169,13793,0,False
150450,2265,99,3,688,2212800,2539,14254,0,False
151640,2265,99,4,991,2472272,1190,16063,0,False
153909,2265,99,5,1427,4915304,2269,16794,0,False
155932,2265,99,5,1427,4357192,2022,17771,0,False
157978,2265,99,5,1427,4410640,2046,18725,0,False
160004,2265,99,6,2056,4364824,2026,19699,0,False
163355,2265,99,6,2056,7364392,3350,19349,0,False
165969,2265,99,6,2056,5695752,2613,19735,0,False
169142,2265,99,6,2056,6964448,3173,19561,0,False
171227,2265,99,6,2056,4498536,2085,20476,0,False
174208,2265,99,6,2056,6526568,2980,20496,0,False
177274,2265,99,6,2056,6720704,3066,20429,0,False
179951,2265,99,6,2056,5838928,2676,20752,0,False
192834,634,112,7,2962,8100880,12883,10869,0,False
194996,634,112,0,230,1299632,2161,11708,0,False
195480,634,112,1,331,236136,484,14223,0,False
198286,634,112,3,688,1707496,2805,14418,0,False
202081,634,112,3,688,2335512,3795,13622,0,False
205761,634,112,3,688,2262136,3680,12942,0,False
208062,634,112,2,477,1387576,2300,13641,0,False
210469,1564,208,3,688,1891000,2406,14235,0,False
211941,1564,208,3,688,1977312,1472,15763,0,False
214022,1564,208,4,991,2928944,2080,16682,0,False
216147,1564,208,4,991,2998144,2124,17557,0,False
219125,1564,208,5,1427,4333144,2978,17578,0,False
222136,1564,208,5,1427,4383632,3010,17568,0,False
224938,1564,208,5,1427,4057776,2802,17765,0,False
228749,1564,208,5,1427,5634872,3810,16954,0,False
231356,1564,208,5,1427,3751800,2606,17347,0,False
233978,1564,208,5,1427,3775656,2622,17725,0,False
237215,1564,208,5,1427,4736776,3236,17489,0,False
239804,1564,208,5,1427,3724608,2589,17899,0,False
241850,2489,207,5,1427,4573736,2045,18854,0,False
244646,2489,207,6,2056,6443768,2795,19058,0,False
246929,2489,207,6,2056,5168280,2283,19774,0,False
250022,2489,207,6,2056,7181584,3092,19682,0,False
252531,2489,207,6,2056,5732056,2509,20172,0,False
255192,2489,207,6,2056,6105624,2660,20512,0,False
257934,2489,207,6,2056,6311000,2742,20769,0,False
262327,2489,207,7,2962,10418800,4392,19376,0,False
264944,2489,207,7,2962,5998152,2616,19760,0,False
268613,2489,207,7,2962,8616312,3668,19091,0,False
277557,942,231,7,2962,10055408,8943,13147,0,False
277800,942,231,3,688,12000,243,12903,0,False
279523,942,231,2,477,1405504,1723,14180,0,False
279767,942,231,4,991,12000,243,13936,0,False
282474,942,231,3,688,2332688,2707,14229,0,False
282718,942,231,4,991,12000,243,13985,0,False
284766,942,231,3,688,1711424,2047,14938,0,False
288382,942,231,4,991,3188312,3615,14322,0,False
291345,942,231,4,991,2573992,2963,14358,0,False
294889,942,231,4,991,3120504,3543,13815,0,False
297192,942,231,3,688,1951960,2303,14512,0,False
300650,1255,98,4,991,3243936,3458,14053,0,False
300758,1255,98,4,991,12000,107,13946,0,False
302769,1255,98,3,688,2401176,2011,14934,0,False
305133,1255,98,4,991,2843072,2363,15571,0,False
307741,1255,98,5,1427,3150688,2608,15962,0,False
312325,1255,98,5,1427,5629864,4583,14379,0,False
313927,1255,98,4,991,1887416,1601,15777,0,False
318102,1255,98,5,1427,5116600,4174,14602,0,False
321103,1255,98,4,991,3643904,3001,14600,0,False
322577,1255,98,4,991,1726888,1474,16126,0,False
326754,1255,98,5,1427,5118392,4176,14950,0,False
328752,1255,98,4,991,2384648,1998,15952,0,False
330983,3775,202,5,1427,5155008,2230,16721,0,False
332195,3775,202,5,1427,3814968,1212,18508,0,False
333865,3775,202,6,2056,5540128,1669,19838,0,False
335880,3775,202,6,2056,6844824,2015,20823,0,False
337510,3775,202,6,2056,5390856,1630,22193,0,False
340808,3775,202,7,2962,10955960,3104,21895,0,False
343042,3775,202,7,2962,7669280,2233,22662,0,False
347399,3775,202,7,2962,13185768,3694,21305,0,False
348718,3775,202,7,2962,4217016,1319,22985,0,False
352513,3775,202,7,2962,9842648,2809,22190,0,False
355863,3775,202,8,5027,11163128,3159,21840,0,False
360109,2354,63,8,5027,15109296,4245,20595,0,False
366410,2354,63,8,5027,14686008,6301,17293,0,False
369508,2354,63,7,2962,7143088,3097,17196,0,False
375782,2354,63,7,2962,14620920,6274,13922,0,False
376588,2354,63,3,688,1748320,805,16116,0,False
379235,2354,63,6,2056,6083544,2647,16468,0,False
380991,2354,63,6,2056,3985368,1756,17712,0,False
386166,2354,63,7,2962,12034632,5175,15537,0,False
387781,2354,63,5,1427,3652416,1614,16922,0,False
390153,3157,58,6,2056,5559912,2372,17550,0,False
392930,3157,58,7,2962,8581944,2776,17774,0,False
396024,3157,58,7,2962,9585304,3094,17679,0,False
398680,3157,58,7,2962,8200648,2655,18024,0,False
401656,3157,58,7,2962,9214304,2976,18047,0,False
404553,3157,58,7,2962,8962888,2897,18150,0,False
407390,3157,58,7,2962,8772784,2836,18313,0,False
410325,3157,58,7,2962,9081264,2934,18379,0,False
414886,3157,58,8,5027,14217216,4561,16817,0,False
416976,3157,58,6,2056,6414072,2089,17728,0,False
420022,647,245,7,2962,9376880,3045,17682,0,False
421985,647,245,7,2962,1111900,1963,15718,0,False
427995,647,245,5,1427,3729528,6009,12709,0,False
430230,647,245,2,477,1287976,2235,13473,0,False
433657,647,245,3,688,2058400,3426,13047,0,False
436187,647,245,2,477,1478624,2530,13516,0,False
439631,647,245,3,688,2069632,3443,13073,0,False
442997,647,245,3,688,2019368,3366,12707,0,False
446747,647,245,3,688,2267888,3750,11956,0,False
449992,647,245,3,688,1940800,3244,11712,0,False
450936,2265,99,3,688,1903784,944,13768,0,False
452406,2265,99,4,991,3104896,1469,15298,0,False
454568,2265,99,5,1427,4674088,2162,16135,0,False
456660,2265,99,5,1427,4512520,2091,17044,0,False
458223,2265,99,5,1427,3316776,1563,18480,0,False
461040,2265,99,6,2056,6156880,2817,18663,0,False
464510,2265,99,6,2056,7635784,3470,18193,0,False
467036,2265,99,6,2056,5496104,2525,18667,0,False
469825,2265,99,6,2056,6092504,2788,18879,0,False
472547,2265,99,6,2056,5940848,2721,19157,0,False
475496,2265,99,6,2056,6455096,2948,19208,0,False
478154,2265,99,6,2056,5797392,2658,19549,0,False
484800,634,112,7,2962,6998736,6645,15904,0,False
